turns,time,total_time
2677,0.75,0.99
2432,7.17,8.16
1393,0.57,8.73
1361,0.26,9
1086,3.47,12.48
632,4.35,16.83
498,30.54,47.38
490,8.85,56.23
4357,0.36,0.37
4079,0.34,0.72
1237,0.13,0.86
409,1.8,2.67
9244,1.1,1.1
8752,1.91,3.03
4388,0.22,3.26
4272,1.34,4.6
2935,1.97,6.58
1899,5.9,12.49
935,1.39,13.88
663,17.84,31.73
527,45.29,77.03
464,11.94,88.97
457,24.4,113.38
415,30.36,143.74
305,14.28,158.02
281,20.32,178.34
263,35,213.34
9314,0.22,0.22
2195,0.16,0.39
2007,3.49,3.88
1497,2.2,6.09
936,0.94,7.04
895,7.03,14.07
497,5.4,19.48
404,8.19,27.67
6438,0.86,0.86
3840,0.71,1.58
2655,3.14,4.72
1266,0.46,5.19
1000,1.79,6.98
763,10.9,17.89
561,15.32,33.21
227,13.6,46.82
2350,0.36,0.36
698,0.58,0.95
455,36.08,37.03
437,10.06,47.1
3631,1.34,1.34
2145,0.07,1.42
1052,0.13,1.56
689,0.37,1.93
622,9.73,11.66
509,5.41,17.08
269,19.24,36.32
5861,0.68,0.68
5676,0.58,1.28
5511,1.52,2.8
4473,0.09,2.9
2079,1.27,4.18
1784,0.17,4.36
1030,12.33,16.69
843,8.79,25.49
614,10.87,36.36
515,17.48,53.84
410,54.98,108.83
5160,0.18,0.18
2732,0.88,1.07
1997,1.32,2.4
1235,0.47,2.88
1078,2.95,5.83
607,25.08,30.92
357,14.31,45.24
353,34.43,79.67
2660,0.4,0.4
1506,0.73,1.14
958,11.3,12.45
740,2.12,14.58
538,5.57,20.15
324,25.68,45.83
